YEAR,LOCATION,COMMODITY,"AREA HARVESTED, WINTER in ACRES",AREA HARVESTED in ACRES,AREA PLANTED in ACRES,"AREA PLANTED, WINTER in ACRES","PRODUCTION, WINTER in BU","YIELD, WINTER in BU / ACRE",PRODUCTION in $,"PRODUCTION, WINTER in $",PRODUCTION in BU,"PRODUCTION, WINTER, RED, SOFT in PCT BY TYPE",YIELD in BU / ACRE,"PRODUCTION, WINTER, WHITE, SOFT in PCT BY TYPE","PRODUCTION, WINTER, RED, HARD in PCT BY TYPE","PRODUCTION, WINTER, WHITE, HARD in PCT BY TYPE"
2008,ALABAMA,WHEAT,"210,000","210,000","265,000","265,000","14,910,000",71,"88,715,000","88,715,000","14,910,000",100,71, , , 
2008,FLORIDA,WHEAT,"23,000","23,000","25,000","25,000","1,242,000",54,"6,831,000","6,831,000","1,242,000",100,54, , , 
2008,GEORGIA,WHEAT,"410,000","410,000","490,000","490,000","22,550,000",55,"134,173,000","134,173,000","22,550,000",100,55, , , 
2008,LOUISIANA,WHEAT,"385,000","385,000","400,000","400,000","21,945,000",57,"120,698,000","120,698,000","21,945,000",98,57, ,2, 
2008,MISSISSIPPI,WHEAT,"500,000","500,000","520,000","520,000","31,000,000",62,"166,160,000","166,160,000","31,000,000",100,62, , , 
2008,NORTH CAROLINA,WHEAT,"740,000","740,000","850,000","850,000","44,400,000",60,"258,408,000","258,408,000","44,400,000",100,60, , , 
2008,SOUTH CAROLINA,WHEAT,"215,000","215,000","230,000","230,000","11,610,000",54,"69,080,000","69,080,000","11,610,000",100,54, , , 
2008,TEXAS,WHEAT,"3,300,000","3,300,000","5,800,000","5,800,000","99,000,000",30,"750,420,000","750,420,000","99,000,000",4,30, ,96, 
2008,VIRGINIA,WHEAT,"290,000","290,000","320,000","320,000","20,590,000",71,"121,069,000","121,069,000","20,590,000",100,71, , , 
2009,ALABAMA,WHEAT,"160,000","160,000","220,000","220,000","8,640,000",54,"36,720,000","36,720,000","8,640,000",99,54, ,1, 
2009,FLORIDA,WHEAT,"14,000","14,000","17,000","17,000","616,000",44,"2,649,000","2,649,000","616,000",100,44, , , 
2009,GEORGIA,WHEAT,"245,000","245,000","335,000","335,000","10,290,000",42,"44,247,000","44,247,000","10,290,000",100,42, , , 
2009,LOUISIANA,WHEAT,"170,000","170,000","185,000","185,000","9,520,000",56,"44,744,000","44,744,000","9,520,000",100,56, , , 
2009,MISSISSIPPI,WHEAT,"150,000","150,000","165,000","165,000","7,500,000",50,"33,750,000","33,750,000","7,500,000",100,50, , , 
2009,NORTH CAROLINA,WHEAT,"575,000","575,000","660,000","660,000","28,175,000",49,"126,224,000","126,224,000","28,175,000",100,49, , , 
2009,SOUTH CAROLINA,WHEAT,"160,000","160,000","175,000","175,000","7,520,000",47,"31,960,000","31,960,000","7,520,000",100,47, , , 
2009,TEXAS,WHEAT,"2,450,000","2,450,000","6,400,000","6,400,000","61,250,000",25,"322,788,000","322,788,000","61,250,000",7,25, ,93, 
2009,VIRGINIA,WHEAT,"220,000","220,000","260,000","260,000","12,760,000",58,"51,933,000","51,933,000","12,760,000",100,58, , , 
2010,ALABAMA,WHEAT,"80,000","80,000","110,000","110,000","4,400,000",55,"22,000,000","22,000,000","4,400,000",99,55, ,1, 
2010,FLORIDA,WHEAT,"7,000","7,000","12,000","12,000","287,000",41,"1,435,000","1,435,000","287,000",100,41, , , 
2010,GEORGIA,WHEAT,"102,000","102,000","150,000","150,000","4,080,000",40,"20,400,000","20,400,000","4,080,000",100,40, , , 
2010,LOUISIANA,WHEAT,"105,000","105,000","120,000","120,000","5,355,000",51,"25,704,000","25,704,000","5,355,000",100,51, , , 
2010,MISSISSIPPI,WHEAT,"90,000","90,000","115,000","115,000","4,230,000",47,"19,881,000","19,881,000","4,230,000",100,47, , , 
2010,NORTH CAROLINA,WHEAT,"330,000","330,000","430,000","430,000","12,540,000",38,"60,317,000","60,317,000","12,540,000",100,38, , , 
2010,SOUTH CAROLINA,WHEAT,"120,000","120,000","135,000","135,000","4,320,000",36,"21,600,000","21,600,000","4,320,000",100,36, , , 
2010,TEXAS,WHEAT,"3,750,000","3,750,000","5,700,000","5,700,000","123,750,000",33,"649,688,000","649,688,000","123,750,000",3,33, ,97, 
2010,VIRGINIA,WHEAT,"150,000","150,000","180,000","180,000","7,650,000",51,"39,780,000","39,780,000","7,650,000",100,51, , , 
2011,ALABAMA,WHEAT,"190,000","190,000","220,000","220,000","13,870,000",73,"95,980,000","95,980,000","13,870,000",99,73, ,1, 
2011,FLORIDA,WHEAT,"8,000","8,000","12,000","12,000","368,000",46,"2,429,000","2,429,000","368,000",100,46, , , 
2011,GEORGIA,WHEAT,"200,000","200,000","250,000","250,000","11,200,000",56,"84,896,000","84,896,000","11,200,000",100,56, , , 
2011,LOUISIANA,WHEAT,"240,000","240,000","250,000","250,000","15,120,000",63,"106,596,000","106,596,000","15,120,000",100,63, , , 
2011,MISSISSIPPI,WHEAT,"310,000","310,000","335,000","335,000","19,840,000",64,"142,848,000","142,848,000","19,840,000",100,64, , , 
2011,NORTH CAROLINA,WHEAT,"590,000","590,000","670,000","670,000","40,120,000",68,"291,672,000","291,672,000","40,120,000",100,68, , , 
2011,SOUTH CAROLINA,WHEAT,"180,000","180,000","190,000","190,000","10,800,000",60,"75,492,000","75,492,000","10,800,000",100,60, , , 
2011,TEXAS,WHEAT,"1,900,000","1,900,000","5,300,000","5,300,000","47,500,000",25,"348,650,000","348,650,000","47,500,000",7,25, ,93, 
2011,VIRGINIA,WHEAT,"240,000","240,000","270,000","270,000","17,040,000",71,"109,567,000","109,567,000","17,040,000",100,71, , , 
2012,ALABAMA,WHEAT,"185,000","185,000","220,000","220,000","10,915,000",59,"72,585,000","72,585,000","10,915,000",99,59, ,1, 
2012,FLORIDA,WHEAT,"15,000","15,000","20,000","20,000","630,000",42,"3,969,000","3,969,000","630,000",100,42, , , 
2012,GEORGIA,WHEAT,"230,000","230,000","290,000","290,000","11,500,000",50,"83,950,000","83,950,000","11,500,000",100,50, , , 
2012,LOUISIANA,WHEAT,"275,000","275,000","285,000","285,000","13,475,000",49,"92,978,000","92,978,000","13,475,000",100,49, , , 
2012,MISSISSIPPI,WHEAT,"320,000","320,000","345,000","345,000","18,240,000",57,"124,944,000","124,944,000","18,240,000",100,57, , , 
2012,NORTH CAROLINA,WHEAT,"740,000","740,000","810,000","810,000","42,180,000",57,"285,980,000","285,980,000","42,180,000",100,57, , , 
2012,SOUTH CAROLINA,WHEAT,"220,000","220,000","235,000","235,000","11,660,000",53,"77,539,000","77,539,000","11,660,000",100,53, , , 
2012,TEXAS,WHEAT,"2,900,000","2,900,000","5,600,000","5,600,000","95,700,000",33,"643,104,000","643,104,000","95,700,000",7,33, ,93, 
2012,VIRGINIA,WHEAT,"240,000","240,000","280,000","280,000","15,360,000",64,"113,510,000","113,510,000","15,360,000",100,64, , , 
2013,ALABAMA,WHEAT,"285,000","285,000","310,000","310,000","19,665,000",69,"134,705,000","134,705,000","19,665,000",100,69, , , 
2013,FLORIDA,WHEAT,"19,000","19,000","25,000","25,000","1,121,000",59,"6,446,000","6,446,000","1,121,000",100,59, , , 
2013,GEORGIA,WHEAT,"360,000","360,000","430,000","430,000","21,600,000",60,"140,400,000","140,400,000","21,600,000",100,60, , , 
2013,LOUISIANA,WHEAT,"255,000","255,000","265,000","265,000","14,790,000",58,"105,009,000","105,009,000","14,790,000",100,58, , , 
2013,MISSISSIPPI,WHEAT,"385,000","385,000","400,000","400,000","22,330,000",58,"154,524,000","154,524,000","22,330,000",100,58, , , 
2013,NORTH CAROLINA,WHEAT,"925,000","925,000","990,000","990,000","52,725,000",57,"331,113,000","331,113,000","52,725,000",100,57, , , 
2013,SOUTH CAROLINA,WHEAT,"265,000","265,000","280,000","280,000","14,310,000",54,"85,860,000","85,860,000","14,310,000",100,54, , , 
2013,TEXAS,WHEAT,"2,350,000","2,350,000","6,300,000","6,300,000","68,150,000",29,"484,547,000","484,547,000","68,150,000",6,29, ,94, 
2013,VIRGINIA,WHEAT,"290,000","290,000","335,000","335,000","17,980,000",62,"124,242,000","124,242,000","17,980,000",100,62, , , 
2014,ALABAMA,WHEAT,"225,000","225,000","255,000","255,000","15,525,000",69,"92,374,000","92,374,000","15,525,000",100,69, , , 
2014,FLORIDA,WHEAT,"10,000","10,000","15,000","15,000","390,000",39,"1,989,000","1,989,000","390,000",96,39, ,4, 
2014,GEORGIA,WHEAT,"230,000","230,000","300,000","300,000","11,270,000",49,"60,295,000","60,295,000","11,270,000",100,49, , , 
2014,LOUISIANA,WHEAT,"150,000","150,000","160,000","160,000","9,300,000",62,"56,730,000","56,730,000","9,300,000",99,62,1, , 
2014,MISSISSIPPI,WHEAT,"215,000","215,000","230,000","230,000","12,470,000",58,"71,703,000","71,703,000","12,470,000",98,58, ,2, 
2014,NORTH CAROLINA,WHEAT,"770,000","770,000","830,000","830,000","44,660,000",58,"230,446,000","230,446,000","44,660,000",100,58, , , 
2014,SOUTH CAROLINA,WHEAT,"220,000","220,000","230,000","230,000","11,440,000",52,"54,912,000","54,912,000","11,440,000",100,52, , , 
2014,TEXAS,WHEAT,"2,250,000","2,250,000","6,000,000","6,000,000","67,500,000",30,"432,000,000","432,000,000","67,500,000",6,30, ,94, 
2014,VIRGINIA,WHEAT,"260,000","260,000","290,000","290,000","17,680,000",68,"101,483,000","101,483,000","17,680,000",100,68, , , 
2015,ALABAMA,WHEAT,"220,000","220,000","260,000","260,000","14,960,000",68,"77,044,000","77,044,000","14,960,000",100,68, , , 
2015,FLORIDA,WHEAT,"15,000","15,000","25,000","25,000","645,000",43,"2,677,000","2,677,000","645,000",83,43, ,15,2
2015,GEORGIA,WHEAT,"145,000","145,000","215,000","215,000","6,235,000",43,"28,681,000","28,681,000","6,235,000",100,43, , , 
2015,LOUISIANA,WHEAT,"92,000","92,000","110,000","110,000","3,588,000",39,"16,146,000","16,146,000","3,588,000",99,39,1, , 
2015,MISSISSIPPI,WHEAT,"120,000","120,000","150,000","150,000","5,760,000",48,"29,146,000","29,146,000","5,760,000",98,48, ,2, 
2015,NORTH CAROLINA,WHEAT,"570,000","570,000","650,000","650,000","30,210,000",53,"148,029,000","148,029,000","30,210,000",100,53, , , 
2015,SOUTH CAROLINA,WHEAT,"160,000","160,000","170,000","170,000","7,360,000",46,"33,120,000","33,120,000","7,360,000",100,46, , , 
2015,TEXAS,WHEAT,"3,550,000","3,550,000","6,100,000","6,100,000","106,500,000",30,"501,615,000","501,615,000","106,500,000",7,30, ,93, 
2015,VIRGINIA,WHEAT,"210,000","210,000","260,000","260,000","13,860,000",66,"75,537,000","75,537,000","13,860,000",100,66, , , 
2016,ALABAMA,WHEAT,"170,000","170,000","230,000","230,000","11,900,000",70,"52,955,000","52,955,000","11,900,000",99,70, ,1, 
2016,FLORIDA,WHEAT,"17,000","17,000","25,000","25,000","510,000",30,"1,989,000","1,989,000","510,000",95,30,2,2,1
2016,GEORGIA,WHEAT,"110,000","110,000","180,000","180,000","5,060,000",46,"20,493,000","20,493,000","5,060,000",100,46, , , 
2016,LOUISIANA,WHEAT,"20,000","20,000","25,000","25,000","900,000",45,"3,825,000","3,825,000","900,000",100,45,0, , 
2016,MISSISSIPPI,WHEAT,"50,000","50,000","65,000","65,000","2,400,000",48,"10,728,000","10,728,000","2,400,000",96,48, ,4, 
2016,NORTH CAROLINA,WHEAT,"355,000","355,000","420,000","420,000","14,555,000",41,"67,099,000","67,099,000","14,555,000",100,41, , , 
2016,SOUTH CAROLINA,WHEAT,"50,000","50,000","60,000","60,000","2,150,000",43,"9,331,000","9,331,000","2,150,000",99,43,1, , 
2016,TEXAS,WHEAT,"2,800,000","2,800,000","5,000,000","5,000,000","89,600,000",32,"317,184,000","317,184,000","89,600,000",3,32, ,97, 
2016,VIRGINIA,WHEAT,"175,000","175,000","210,000","210,000","9,275,000",53,"44,056,000","44,056,000","9,275,000",100,53, , , 
2017,ALABAMA,WHEAT,"100,000","100,000","150,000","150,000","7,700,000",77,"35,420,000","35,420,000","7,700,000",100,77, , , 
2017,FLORIDA,WHEAT,"14,000","14,000","20,000","20,000","518,000",37,"2,072,000","2,072,000","518,000",86,37,13,1, 
2017,GEORGIA,WHEAT,"70,000","70,000","160,000","160,000","3,290,000",47,"13,489,000","13,489,000","3,290,000",100,47, , , 
2017,LOUISIANA,WHEAT,"13,000","13,000","20,000","20,000","598,000",46,"2,512,000","2,512,000","598,000",100,46, , , 
2017,MISSISSIPPI,WHEAT,"25,000","25,000","45,000","45,000","1,450,000",58,"6,018,000","6,018,000","1,450,000",100,58, , , 
2017,NORTH CAROLINA,WHEAT,"375,000","375,000","450,000","450,000","20,625,000",55,"95,906,000","95,906,000","20,625,000",100,55, , , 
2017,SOUTH CAROLINA,WHEAT,"75,000","75,000","90,000","90,000","3,675,000",49,"15,986,000","15,986,000","3,675,000",100,49, , , 
2017,TEXAS,WHEAT,"2,350,000","2,350,000","4,700,000","4,700,000","68,150,000",29,"255,563,000","255,563,000","68,150,000",6,29, ,94, 
2017,VIRGINIA,WHEAT,"145,000","145,000","210,000","210,000","9,570,000",66,"44,979,000","44,979,000","9,570,000",100,66, , , 
