YEAR,LOCATION,STATE ANSI,ASD CODE,COUNTY ANSI,REFERENCE PERIOD,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE,PRODUCTION in $,PRICE RECEIVED in $ / BU
2007,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,440,000","1,460,000","58,320,000",40.5,"487,555,000", 
2007,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,380,000","1,440,000","30,360,000",22,"306,636,000", 
2007,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"440,000","460,000","8,140,000",18.5,"88,726,000", 
2007,TEXAS,48,  ,   ,YEAR,SOYBEANS,"92,000","95,000","3,450,000",37.5,"35,880,000", 
2007,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"500,000","510,000","13,750,000",27.5,"156,750,000", 
2008,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"350,000","360,000","12,250,000",35,"126,175,000", 
2008,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"29,000","32,000","1,102,000",38,"9,367,000", 
2008,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"415,000","430,000","12,865,000",31,"122,218,000", 
2008,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"950,000","1,050,000","31,350,000",33,"298,452,000", 
2008,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,960,000","2,000,000","78,400,000",40,"728,336,000", 
2008,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,670,000","1,690,000","55,110,000",33,"514,176,000", 
2008,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"530,000","540,000","16,960,000",32,"152,640,000", 
2008,TEXAS,48,  ,   ,YEAR,SOYBEANS,"205,000","230,000","5,023,000",24.5,"46,463,000", 
2008,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"570,000","580,000","18,240,000",32,"165,984,000", 
2009,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"430,000","440,000","17,200,000",40,"172,000,000", 
2009,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"34,000","37,000","1,292,000",38,"12,274,000", 
2009,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"440,000","470,000","15,840,000",36,"155,232,000", 
2009,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"940,000","1,020,000","36,660,000",39,"354,136,000", 
2009,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"2,030,000","2,160,000","77,140,000",38,"712,774,000", 
2009,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,750,000","1,800,000","59,500,000",34,"570,605,000", 
2009,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"565,000","590,000","13,843,000",24.5,"131,509,000", 
2009,TEXAS,48,  ,   ,YEAR,SOYBEANS,"190,000","215,000","4,845,000",25.5,"44,816,000", 
2009,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"570,000","580,000","21,090,000",37,"198,246,000", 
2010,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"345,000","350,000","8,970,000",26,"99,567,000", 
2010,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"23,000","25,000","690,000",30,"7,590,000", 
2010,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"255,000","270,000","6,630,000",26,"77,571,000", 
2010,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,020,000","1,030,000","41,820,000",41,"439,110,000", 
2010,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,980,000","2,000,000","76,230,000",38.5,"792,792,000", 
2010,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,550,000","1,580,000","40,300,000",26,"483,600,000", 
2010,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"455,000","465,000","10,465,000",23,"123,487,000", 
2010,TEXAS,48,  ,   ,YEAR,SOYBEANS,"185,000","205,000","5,550,000",30,"57,720,000", 
2010,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"540,000","560,000","14,040,000",26,"168,480,000", 
2011,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"295,000","300,000","9,735,000",33,"116,820,000", 
2011,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"16,000","18,000","432,000",27,"4,752,000", 
2011,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"135,000","155,000","2,970,000",22,"35,937,000", 
2011,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"980,000","1,020,000","35,280,000",36,"423,360,000", 
2011,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,800,000","1,830,000","70,200,000",39,"842,400,000", 
2011,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,360,000","1,380,000","41,480,000",30.5,"501,908,000", 
2011,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"360,000","370,000","9,180,000",25.5,"110,160,000", 
2011,TEXAS,48,  ,   ,YEAR,SOYBEANS,"90,000","165,000","1,710,000",19,"20,520,000", 
2011,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"550,000","560,000","22,000,000",40,"266,200,000", 
2012,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"335,000","340,000","15,075,000",45,"220,095,000", 
2012,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"20,000","21,000","780,000",39,"10,920,000", 
2012,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"215,000","220,000","8,063,000",37.5,"117,720,000", 
2012,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,115,000","1,130,000","51,848,000",46.5,"762,166,000", 
2012,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,950,000","1,970,000","87,750,000",45,"1,272,375,000", 
2012,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,580,000","1,590,000","62,410,000",39.5,"873,740,000", 
2012,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"370,000","380,000","12,580,000",34,"182,410,000", 
2012,TEXAS,48,  ,   ,YEAR,SOYBEANS,"110,000","125,000","2,860,000",26,"41,756,000", 
2012,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"580,000","590,000","24,360,000",42,"341,040,000", 
2013,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"430,000","440,000","18,705,000",43.5,"241,295,000", 
2013,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"30,000","32,000","1,230,000",41,"14,514,000", 
2013,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"230,000","235,000","9,315,000",40.5,"123,890,000", 
2013,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,120,000","1,130,000","54,320,000",48.5,"727,888,000", 
2013,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,990,000","2,010,000","91,540,000",46,"1,208,328,000", 
2013,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,450,000","1,480,000","48,575,000",33.5,"636,333,000", 
2013,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"310,000","320,000","8,835,000",28.5,"117,506,000", 
2013,TEXAS,48,  ,   ,YEAR,SOYBEANS,"92,000","105,000","2,346,000",25.5,"29,560,000", 
2013,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"600,000","610,000","23,100,000",38.5,"300,300,000", 
2014,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"470,000","480,000","18,800,000",40,"188,000,000", 
2014,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"37,000","39,000","1,591,000",43,"14,160,000", 
2014,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"290,000","300,000","11,600,000",40,"121,800,000", 
2014,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,395,000","1,410,000","78,818,000",56.5,"859,116,000", 
2014,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"2,190,000","2,210,000","113,880,000",52,"1,252,680,000", 
2014,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,730,000","1,750,000","69,200,000",40,"705,840,000", 
2014,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"440,000","450,000","15,400,000",35,"158,620,000", 
2014,TEXAS,48,  ,   ,YEAR,SOYBEANS,"135,000","155,000","5,198,000",38.5,"49,641,000", 
2014,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"640,000","650,000","25,280,000",39.5,"250,272,000", 
2015,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"490,000","500,000","20,090,000",41,"179,806,000", 
2015,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"29,000","33,000","1,102,000",38,"8,816,000", 
2015,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"310,000","325,000","13,330,000",43,"123,303,000", 
2015,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,390,000","1,430,000","56,990,000",41,"555,083,000", 
2015,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"2,270,000","2,300,000","104,420,000",46,"1,014,962,000", 
2015,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,730,000","1,820,000","55,360,000",32,"480,525,000", 
2015,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"370,000","475,000","9,805,000",26.5,"84,813,000", 
2015,TEXAS,48,  ,   ,YEAR,SOYBEANS,"115,000","130,000","2,990,000",26,"25,116,000", 
2015,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"620,000","630,000","21,390,000",34.5,"188,232,000", 
2016,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"410,000","420,000","13,120,000",32,"128,970,000", 
2016,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"29,000","31,000","1,044,000",36,"9,135,000", 
2016,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"240,000","260,000","7,200,000",30,"72,720,000", 
2016,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,190,000","1,230,000","57,715,000",48.5,"573,110,000", 
2016,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"2,020,000","2,040,000","96,960,000",48,"963,782,000", 
2016,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,660,000","1,690,000","58,100,000",35,"569,380,000", 
2016,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"405,000","420,000","12,555,000",31,"121,532,000", 
2016,TEXAS,48,  ,   ,YEAR,SOYBEANS,"145,000","165,000","4,495,000",31,"41,174,000", 
2016,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"600,000","610,000","21,600,000",36,"203,040,000", 
2017,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"345,000","350,000","15,870,000",46,"155,526,000", 
2017,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"14,000","15,000","476,000",34,"4,213,000", 
2017,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"150,000","155,000","6,300,000",42,"61,425,000", 
2017,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,250,000","1,270,000","67,500,000",54,"654,750,000", 
2017,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"2,170,000","2,190,000","115,010,000",53,"1,127,098,000", 
2017,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,690,000","1,700,000","67,600,000",40,"638,820,000", 
2017,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"390,000","400,000","14,820,000",38,"137,826,000", 
2017,TEXAS,48,  ,   ,YEAR,SOYBEANS,"185,000","210,000","6,845,000",37,"60,921,000", 
2017,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"590,000","600,000","25,960,000",44,"241,428,000", 
2018,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"355,000","360,000","15,620,000",44, , 
2018,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"14,000","15,000", , , , 
2018,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"190,000","200,000","7,600,000",40, , 
2018,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"1,370,000","1,400,000","68,500,000",50, , 
2018,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"2,180,000","2,200,000","115,540,000",53, , 
2018,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,590,000","1,600,000","60,420,000",38, , 
2018,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"410,000","420,000","13,120,000",32, , 
2018,TEXAS,48,  ,   ,YEAR,SOYBEANS,"140,000","160,000","4,760,000",34, , 
2018,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"610,000","620,000","26,230,000",43, , 
