YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,AREA LOST
2013,LOUISIANA,WHEAT,"255,000","265,000","105,009,000","10,000"
2013,MISSISSIPPI,WHEAT,"385,000","400,000","154,524,000","15,000"
2013,NORTH CAROLINA,WHEAT,"925,000","990,000","331,113,000","65,000"
2013,SOUTH CAROLINA,WHEAT,"265,000","280,000","85,860,000","15,000"
2013,VIRGINIA,WHEAT,"290,000","335,000","124,242,000","45,000"
2014,ALABAMA,WHEAT,"225,000","255,000","92,374,000","30,000"
2014,GEORGIA,WHEAT,"230,000","300,000","60,295,000","70,000"
2014,NORTH CAROLINA,WHEAT,"770,000","830,000","230,446,000","60,000"
2014,SOUTH CAROLINA,WHEAT,"220,000","230,000","54,912,000","10,000"
2014,VIRGINIA,WHEAT,"260,000","290,000","101,483,000","30,000"
2015,ALABAMA,WHEAT,"220,000","260,000","77,044,000","40,000"
2015,GEORGIA,WHEAT,"145,000","215,000","28,681,000","70,000"
2015,NORTH CAROLINA,WHEAT,"570,000","650,000","148,029,000","80,000"
2015,SOUTH CAROLINA,WHEAT,"160,000","170,000","33,120,000","10,000"
2015,VIRGINIA,WHEAT,"210,000","260,000","75,537,000","50,000"
2016,GEORGIA,WHEAT,"110,000","180,000","20,493,000","70,000"
2016,LOUISIANA,WHEAT,"20,000","25,000","3,825,000","5,000"
2016,NORTH CAROLINA,WHEAT,"355,000","420,000","67,099,000","65,000"
2016,VIRGINIA,WHEAT,"175,000","210,000","44,056,000","35,000"
2017,ALABAMA,WHEAT,"100,000","150,000","35,420,000","50,000"
2017,GEORGIA,WHEAT,"70,000","160,000","13,489,000","90,000"
2017,LOUISIANA,WHEAT,"13,000","20,000","2,512,000","7,000"
2017,MISSISSIPPI,WHEAT,"25,000","45,000","6,018,000","20,000"
2017,NORTH CAROLINA,WHEAT,"375,000","450,000","95,906,000","75,000"
2017,SOUTH CAROLINA,WHEAT,"75,000","90,000","15,986,000","15,000"
2017,VIRGINIA,WHEAT,"145,000","210,000","44,979,000","65,000"
2017,FLORIDA,WHEAT,"14,000","20,000","2,072,000","6,000"
2015,FLORIDA,WHEAT,"15,000","25,000","2,677,000","10,000"
2000,LOUISIANA,WHEAT,"185,000","200,000","23,532,000","15,000"
2001,LOUISIANA,WHEAT,"160,000","175,000","22,000,000","15,000"
2002,LOUISIANA,WHEAT,"220,000","230,000","26,400,000","10,000"
2003,LOUISIANA,WHEAT,"140,000","155,000","18,942,000","15,000"
2004,LOUISIANA,WHEAT,"165,000","180,000","28,050,000","15,000"
2005,LOUISIANA,WHEAT,"100,000","110,000","15,360,000","10,000"
2006,LOUISIANA,WHEAT,"105,000","115,000","20,034,000","10,000"
2007,LOUISIANA,WHEAT,"220,000","235,000","61,776,000","15,000"
2008,LOUISIANA,WHEAT,"385,000","400,000","120,698,000","15,000"
2009,ALABAMA,WHEAT,"160,000","220,000","36,720,000","60,000"
2010,ALABAMA,WHEAT,"80,000","110,000","22,000,000","30,000"
2011,ALABAMA,WHEAT,"190,000","220,000","95,980,000","30,000"
2012,ALABAMA,WHEAT,"185,000","220,000","72,585,000","35,000"
2014,FLORIDA,WHEAT,"10,000","15,000","1,989,000","5,000"
2014,MISSISSIPPI,WHEAT,"215,000","230,000","71,703,000","15,000"
2015,MISSISSIPPI,WHEAT,"120,000","150,000","29,146,000","30,000"
2016,ALABAMA,WHEAT,"170,000","230,000","52,955,000","60,000"
2016,MISSISSIPPI,WHEAT,"50,000","65,000","10,728,000","15,000"
2016,FLORIDA,WHEAT,"17,000","25,000","1,989,000","8,000"
2014,LOUISIANA,WHEAT,"150,000","160,000","56,730,000","10,000"
2015,LOUISIANA,WHEAT,"92,000","110,000","16,146,000","18,000"
2016,SOUTH CAROLINA,WHEAT,"50,000","60,000","9,331,000","10,000"
