YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,AREA LOST
2007,LOUISIANA,SOYBEANS,"600,000","615,000","217,494,000","15,000"
2007,MISSISSIPPI,SOYBEANS,"1,440,000","1,460,000","487,555,000","20,000"
2007,NORTH CAROLINA,SOYBEANS,"1,380,000","1,440,000","306,636,000","60,000"
2007,SOUTH CAROLINA,SOYBEANS,"440,000","460,000","88,726,000","20,000"
2007,TEXAS,SOYBEANS,"92,000","95,000","35,880,000","3,000"
2007,VIRGINIA,SOYBEANS,"500,000","510,000","156,750,000","10,000"
2008,ALABAMA,SOYBEANS,"350,000","360,000","126,175,000","10,000"
2008,FLORIDA,SOYBEANS,"29,000","32,000","9,367,000","3,000"
2008,GEORGIA,SOYBEANS,"415,000","430,000","122,218,000","15,000"
2008,LOUISIANA,SOYBEANS,"950,000","1,050,000","298,452,000","100,000"
2008,MISSISSIPPI,SOYBEANS,"1,960,000","2,000,000","728,336,000","40,000"
2008,NORTH CAROLINA,SOYBEANS,"1,670,000","1,690,000","514,176,000","20,000"
2008,SOUTH CAROLINA,SOYBEANS,"530,000","540,000","152,640,000","10,000"
2008,TEXAS,SOYBEANS,"205,000","230,000","46,463,000","25,000"
2008,VIRGINIA,SOYBEANS,"570,000","580,000","165,984,000","10,000"
2009,ALABAMA,SOYBEANS,"430,000","440,000","172,000,000","10,000"
2009,FLORIDA,SOYBEANS,"34,000","37,000","12,274,000","3,000"
2009,GEORGIA,SOYBEANS,"440,000","470,000","155,232,000","30,000"
2009,LOUISIANA,SOYBEANS,"940,000","1,020,000","354,136,000","80,000"
2009,MISSISSIPPI,SOYBEANS,"2,030,000","2,160,000","712,774,000","130,000"
2009,NORTH CAROLINA,SOYBEANS,"1,750,000","1,800,000","570,605,000","50,000"
2009,SOUTH CAROLINA,SOYBEANS,"565,000","590,000","131,509,000","25,000"
2009,TEXAS,SOYBEANS,"190,000","215,000","44,816,000","25,000"
2009,VIRGINIA,SOYBEANS,"570,000","580,000","198,246,000","10,000"
2010,ALABAMA,SOYBEANS,"345,000","350,000","99,567,000","5,000"
2010,FLORIDA,SOYBEANS,"23,000","25,000","7,590,000","2,000"
2010,GEORGIA,SOYBEANS,"255,000","270,000","77,571,000","15,000"
2010,LOUISIANA,SOYBEANS,"1,020,000","1,030,000","439,110,000","10,000"
2010,MISSISSIPPI,SOYBEANS,"1,980,000","2,000,000","792,792,000","20,000"
2010,NORTH CAROLINA,SOYBEANS,"1,550,000","1,580,000","483,600,000","30,000"
2010,SOUTH CAROLINA,SOYBEANS,"455,000","465,000","123,487,000","10,000"
2010,TEXAS,SOYBEANS,"185,000","205,000","57,720,000","20,000"
2010,VIRGINIA,SOYBEANS,"540,000","560,000","168,480,000","20,000"
2011,ALABAMA,SOYBEANS,"295,000","300,000","116,820,000","5,000"
2011,FLORIDA,SOYBEANS,"16,000","18,000","4,752,000","2,000"
2011,GEORGIA,SOYBEANS,"135,000","155,000","35,937,000","20,000"
2011,LOUISIANA,SOYBEANS,"980,000","1,020,000","423,360,000","40,000"
2011,MISSISSIPPI,SOYBEANS,"1,800,000","1,830,000","842,400,000","30,000"
2011,NORTH CAROLINA,SOYBEANS,"1,360,000","1,380,000","501,908,000","20,000"
2011,SOUTH CAROLINA,SOYBEANS,"360,000","370,000","110,160,000","10,000"
2011,TEXAS,SOYBEANS,"90,000","165,000","20,520,000","75,000"
2011,VIRGINIA,SOYBEANS,"550,000","560,000","266,200,000","10,000"
2012,ALABAMA,SOYBEANS,"335,000","340,000","220,095,000","5,000"
2012,FLORIDA,SOYBEANS,"20,000","21,000","10,920,000","1,000"
2012,GEORGIA,SOYBEANS,"215,000","220,000","117,720,000","5,000"
2012,LOUISIANA,SOYBEANS,"1,115,000","1,130,000","762,166,000","15,000"
2012,MISSISSIPPI,SOYBEANS,"1,950,000","1,970,000","1,272,375,000","20,000"
2012,NORTH CAROLINA,SOYBEANS,"1,580,000","1,590,000","873,740,000","10,000"
2012,SOUTH CAROLINA,SOYBEANS,"370,000","380,000","182,410,000","10,000"
2012,TEXAS,SOYBEANS,"110,000","125,000","41,756,000","15,000"
2012,VIRGINIA,SOYBEANS,"580,000","590,000","341,040,000","10,000"
2013,ALABAMA,SOYBEANS,"430,000","440,000","241,295,000","10,000"
2013,FLORIDA,SOYBEANS,"30,000","32,000","14,514,000","2,000"
2013,GEORGIA,SOYBEANS,"230,000","235,000","123,890,000","5,000"
2013,LOUISIANA,SOYBEANS,"1,120,000","1,130,000","727,888,000","10,000"
2013,MISSISSIPPI,SOYBEANS,"1,990,000","2,010,000","1,208,328,000","20,000"
2013,NORTH CAROLINA,SOYBEANS,"1,450,000","1,480,000","636,333,000","30,000"
2013,SOUTH CAROLINA,SOYBEANS,"310,000","320,000","117,506,000","10,000"
2013,TEXAS,SOYBEANS,"92,000","105,000","29,560,000","13,000"
2013,VIRGINIA,SOYBEANS,"600,000","610,000","300,300,000","10,000"
2014,ALABAMA,SOYBEANS,"470,000","480,000","188,000,000","10,000"
2014,FLORIDA,SOYBEANS,"37,000","39,000","14,160,000","2,000"
2014,GEORGIA,SOYBEANS,"290,000","300,000","121,800,000","10,000"
2014,LOUISIANA,SOYBEANS,"1,395,000","1,410,000","859,116,000","15,000"
2014,MISSISSIPPI,SOYBEANS,"2,190,000","2,210,000","1,252,680,000","20,000"
2014,NORTH CAROLINA,SOYBEANS,"1,730,000","1,750,000","705,840,000","20,000"
2014,SOUTH CAROLINA,SOYBEANS,"440,000","450,000","158,620,000","10,000"
2014,TEXAS,SOYBEANS,"135,000","155,000","49,641,000","20,000"
2014,VIRGINIA,SOYBEANS,"640,000","650,000","250,272,000","10,000"
2015,ALABAMA,SOYBEANS,"490,000","500,000","179,806,000","10,000"
2015,FLORIDA,SOYBEANS,"29,000","33,000","8,816,000","4,000"
2015,GEORGIA,SOYBEANS,"310,000","325,000","123,303,000","15,000"
2015,LOUISIANA,SOYBEANS,"1,390,000","1,430,000","555,083,000","40,000"
2015,MISSISSIPPI,SOYBEANS,"2,270,000","2,300,000","1,014,962,000","30,000"
2015,NORTH CAROLINA,SOYBEANS,"1,730,000","1,820,000","480,525,000","90,000"
2015,SOUTH CAROLINA,SOYBEANS,"370,000","475,000","84,813,000","105,000"
2015,TEXAS,SOYBEANS,"115,000","130,000","25,116,000","15,000"
2015,VIRGINIA,SOYBEANS,"620,000","630,000","188,232,000","10,000"
2016,ALABAMA,SOYBEANS,"410,000","420,000","128,970,000","10,000"
2016,FLORIDA,SOYBEANS,"29,000","31,000","9,135,000","2,000"
2016,GEORGIA,SOYBEANS,"240,000","260,000","72,720,000","20,000"
2016,LOUISIANA,SOYBEANS,"1,190,000","1,230,000","573,110,000","40,000"
2016,MISSISSIPPI,SOYBEANS,"2,020,000","2,040,000","963,782,000","20,000"
2016,NORTH CAROLINA,SOYBEANS,"1,660,000","1,690,000","569,380,000","30,000"
2016,SOUTH CAROLINA,SOYBEANS,"405,000","420,000","121,532,000","15,000"
2016,TEXAS,SOYBEANS,"145,000","165,000","41,174,000","20,000"
2016,VIRGINIA,SOYBEANS,"600,000","610,000","203,040,000","10,000"
2017,ALABAMA,SOYBEANS,"345,000","350,000","155,526,000","5,000"
2017,FLORIDA,SOYBEANS,"14,000","15,000","4,213,000","1,000"
2017,GEORGIA,SOYBEANS,"150,000","155,000","61,425,000","5,000"
2017,LOUISIANA,SOYBEANS,"1,250,000","1,270,000","654,750,000","20,000"
2017,MISSISSIPPI,SOYBEANS,"2,170,000","2,190,000","1,127,098,000","20,000"
2017,NORTH CAROLINA,SOYBEANS,"1,690,000","1,700,000","638,820,000","10,000"
2017,SOUTH CAROLINA,SOYBEANS,"390,000","400,000","137,826,000","10,000"
2017,TEXAS,SOYBEANS,"185,000","210,000","60,921,000","25,000"
2017,VIRGINIA,SOYBEANS,"590,000","600,000","241,428,000","10,000"
